angleX = 81.72 | angleY = 8.67 | angleZ = 87.63
inclinacaoX = -0.98 | inclinacaoY = -87.92 | inclinacaoZ = 1.85

angleX = 89.10 | angleY = 2.18 | angleZ = 92.01
inclinacaoX = -0.90 | inclinacaoY = -87.82 | inclinacaoZ = 2.01

angleX = 90.62 | angleY = 0.91 | angleZ = 90.75
inclinacaoX = 0.62 | inclinacaoY = -89.09 | inclinacaoZ = 0.75

angleX = 90.17 | angleY = 0.88 | angleZ = 90.92
inclinacaoX = 0.17 | inclinacaoY = -89.12 | inclinacaoZ = 0.92

angleX = 89.58 | angleY = 0.54 | angleZ = 90.33
inclinacaoX = -0.42 | inclinacaoY = -89.46 | inclinacaoZ = 0.33

angleX = 88.92 | angleY = 1.40 | angleZ = 90.89
inclinacaoX = -1.08 | inclinacaoY = -88.60 | inclinacaoZ = 0.89

angleX = 90.67 | angleY = 1.33 | angleZ = 91.22
inclinacaoX = 0.67 | inclinacaoY = -88.67 | inclinacaoZ = 1.22

angleX = 89.27 | angleY = 1.99 | angleZ = 91.88
inclinacaoX = -0.73 | inclinacaoY = -88.01 | inclinacaoZ = 1.88

angleX = 90.38 | angleY = 0.72 | angleZ = 90.69
inclinacaoX = 0.38 | inclinacaoY = -89.28 | inclinacaoZ = 0.69

angleX = 91.17 | angleY = 1.74 | angleZ = 91.37
inclinacaoX = 1.17 | inclinacaoY = -88.26 | inclinacaoZ = 1.37

angleX = 90.35 | angleY = 1.57 | angleZ = 91.58
inclinacaoX = 0.35 | inclinacaoY = -88.43 | inclinacaoZ = 1.58

angleX = 90.96 | angleY = 2.38 | angleZ = 92.24
inclinacaoX = 0.96 | inclinacaoY = -87.62 | inclinacaoZ = 2.24

angleX = 90.27 | angleY = 1.28 | angleZ = 91.31
inclinacaoX = 0.27 | inclinacaoY = -88.72 | inclinacaoZ = 1.31

angleX = 90.85 | angleY = 2.04 | angleZ = 91.92
inclinacaoX = 0.85 | inclinacaoY = -87.96 | inclinacaoZ = 1.92

angleX = 91.25 | angleY = 3.37 | angleZ = 93.19
inclinacaoX = 1.25 | inclinacaoY = -86.63 | inclinacaoZ = 3.19

angleX = 90.27 | angleY = 3.12 | angleZ = 93.15
inclinacaoX = 0.27 | inclinacaoY = -86.88 | inclinacaoZ = 3.15

angleX = 89.95 | angleY = 2.83 | angleZ = 92.88
inclinacaoX = -0.05 | inclinacaoY = -87.17 | inclinacaoZ = 2.88

angleX = 90.74 | angleY = 4.48 | angleZ = 94.47
inclinacaoX = 0.74 | inclinacaoY = -85.52 | inclinacaoZ = 4.47

angleX = 90.86 | angleY = 4.29 | angleZ = 94.26
inclinacaoX = 0.86 | inclinacaoY = -85.71 | inclinacaoZ = 4.26

angleX = 89.47 | angleY = 4.51 | angleZ = 94.52
inclinacaoX = -0.53 | inclinacaoY = -85.49 | inclinacaoZ = 4.52

angleX = 88.98 | angleY = 2.50 | angleZ = 92.31
inclinacaoX = -1.02 | inclinacaoY = -87.50 | inclinacaoZ = 2.31

angleX = 92.07 | angleY = 3.99 | angleZ = 93.48
inclinacaoX = 2.07 | inclinacaoY = -86.01 | inclinacaoZ = 3.48

angleX = 91.16 | angleY = 3.69 | angleZ = 93.56
inclinacaoX = 1.16 | inclinacaoY = -86.31 | inclinacaoZ = 3.56

angleX = 91.86 | angleY = 2.86 | angleZ = 92.26
inclinacaoX = 1.86 | inclinacaoY = -87.14 | inclinacaoZ = 2.26

angleX = 91.50 | angleY = 2.50 | angleZ = 92.08
inclinacaoX = 1.50 | inclinacaoY = -87.50 | inclinacaoZ = 2.08

angleX = 91.07 | angleY = 2.44 | angleZ = 92.26
inclinacaoX = 1.07 | inclinacaoY = -87.56 | inclinacaoZ = 2.26

angleX = 91.39 | angleY = 1.89 | angleZ = 91.38
inclinacaoX = 1.39 | inclinacaoY = -88.11 | inclinacaoZ = 1.38

angleX = 91.55 | angleY = 2.58 | angleZ = 92.15
inclinacaoX = 1.55 | inclinacaoY = -87.42 | inclinacaoZ = 2.15

angleX = 91.93 | angleY = 2.48 | angleZ = 91.65
inclinacaoX = 1.93 | inclinacaoY = -87.52 | inclinacaoZ = 1.65

angleX = 91.61 | angleY = 2.12 | angleZ = 91.48
inclinacaoX = 1.61 | inclinacaoY = -87.88 | inclinacaoZ = 1.48

angleX = 90.34 | angleY = 1.50 | angleZ = 91.52
inclinacaoX = 0.34 | inclinacaoY = -88.50 | inclinacaoZ = 1.52

angleX = 92.46 | angleY = 2.71 | angleZ = 91.27
inclinacaoX = 2.46 | inclinacaoY = -87.29 | inclinacaoZ = 1.27

angleX = 91.72 | angleY = 2.26 | angleZ = 91.55
inclinacaoX = 1.72 | inclinacaoY = -87.74 | inclinacaoZ = 1.55

angleX = 91.48 | angleY = 2.19 | angleZ = 91.70
inclinacaoX = 1.48 | inclinacaoY = -87.81 | inclinacaoZ = 1.70

angleX = 90.59 | angleY = 1.58 | angleZ = 91.53
inclinacaoX = 0.59 | inclinacaoY = -88.42 | inclinacaoZ = 1.53

angleX = 91.65 | angleY = 1.76 | angleZ = 90.77
inclinacaoX = 1.65 | inclinacaoY = -88.24 | inclinacaoZ = 0.77

angleX = 92.24 | angleY = 2.57 | angleZ = 91.39
inclinacaoX = 2.24 | inclinacaoY = -87.43 | inclinacaoZ = 1.39

angleX = 92.39 | angleY = 2.71 | angleZ = 91.40
inclinacaoX = 2.39 | inclinacaoY = -87.29 | inclinacaoZ = 1.40

angleX = 91.82 | angleY = 1.80 | angleZ = 90.37
inclinacaoX = 1.82 | inclinacaoY = -88.20 | inclinacaoZ = 0.37

angleX = 92.31 | angleY = 2.36 | angleZ = 90.70
inclinacaoX = 2.31 | inclinacaoY = -87.64 | inclinacaoZ = 0.70

angleX = 91.42 | angleY = 1.45 | angleZ = 90.50
inclinacaoX = 1.42 | inclinacaoY = -88.55 | inclinacaoZ = 0.50

angleX = 93.07 | angleY = 3.03 | angleZ = 90.23
inclinacaoX = 3.07 | inclinacaoY = -86.97 | inclinacaoZ = 0.23

angleX = 92.83 | angleY = 2.87 | angleZ = 90.77
inclinacaoX = 2.83 | inclinacaoY = -87.13 | inclinacaoZ = 0.77

angleX = 92.24 | angleY = 2.34 | angleZ = 89.24
inclinacaoX = 2.24 | inclinacaoY = -87.66 | inclinacaoZ = -0.76

angleX = 91.59 | angleY = 1.70 | angleZ = 89.34
inclinacaoX = 1.59 | inclinacaoY = -88.30 | inclinacaoZ = -0.66

angleX = 93.31 | angleY = 3.26 | angleZ = 89.99
inclinacaoX = 3.31 | inclinacaoY = -86.74 | inclinacaoZ = -0.01

angleX = 93.62 | angleY = 3.64 | angleZ = 89.36
inclinacaoX = 3.62 | inclinacaoY = -86.36 | inclinacaoZ = -0.64

angleX = 92.89 | angleY = 2.90 | angleZ = 89.45
inclinacaoX = 2.89 | inclinacaoY = -87.10 | inclinacaoZ = -0.55

angleX = 92.98 | angleY = 2.99 | angleZ = 89.49
inclinacaoX = 2.98 | inclinacaoY = -87.01 | inclinacaoZ = -0.51

angleX = 92.97 | angleY = 3.20 | angleZ = 88.76
inclinacaoX = 2.97 | inclinacaoY = -86.80 | inclinacaoZ = -1.24

angleX = 93.74 | angleY = 3.79 | angleZ = 89.20
inclinacaoX = 3.74 | inclinacaoY = -86.21 | inclinacaoZ = -0.80

angleX = 94.51 | angleY = 4.50 | angleZ = 89.44
inclinacaoX = 4.51 | inclinacaoY = -85.50 | inclinacaoZ = -0.56

angleX = 94.07 | angleY = 4.16 | angleZ = 89.00
inclinacaoX = 4.07 | inclinacaoY = -85.84 | inclinacaoZ = -1.00

angleX = 93.42 | angleY = 3.48 | angleZ = 89.23
inclinacaoX = 3.42 | inclinacaoY = -86.52 | inclinacaoZ = -0.77

angleX = 94.43 | angleY = 4.53 | angleZ = 88.89
inclinacaoX = 4.43 | inclinacaoY = -85.47 | inclinacaoZ = -1.11

angleX = 93.99 | angleY = 4.04 | angleZ = 89.15
inclinacaoX = 3.99 | inclinacaoY = -85.96 | inclinacaoZ = -0.85

angleX = 93.19 | angleY = 3.53 | angleZ = 88.44
inclinacaoX = 3.19 | inclinacaoY = -86.47 | inclinacaoZ = -1.56

angleX = 93.88 | angleY = 4.11 | angleZ = 88.56
inclinacaoX = 3.88 | inclinacaoY = -85.89 | inclinacaoZ = -1.44

angleX = 100.14 | angleY = 10.16 | angleZ = 88.90
inclinacaoX = 10.14 | inclinacaoY = -79.84 | inclinacaoZ = -1.10

angleX = 92.45 | angleY = 2.41 | angleZ = 90.21
inclinacaoX = 2.45 | inclinacaoY = -87.59 | inclinacaoZ = 0.21

angleX = 93.31 | angleY = 3.29 | angleZ = 89.71
inclinacaoX = 3.31 | inclinacaoY = -86.71 | inclinacaoZ = -0.29

angleX = 93.66 | angleY = 3.61 | angleZ = 90.03
inclinacaoX = 3.66 | inclinacaoY = -86.39 | inclinacaoZ = 0.03

angleX = 93.94 | angleY = 3.90 | angleZ = 90.25
inclinacaoX = 3.94 | inclinacaoY = -86.10 | inclinacaoZ = 0.25

angleX = 93.30 | angleY = 3.26 | angleZ = 90.10
inclinacaoX = 3.30 | inclinacaoY = -86.74 | inclinacaoZ = 0.10

angleX = 94.99 | angleY = 4.94 | angleZ = 90.02
inclinacaoX = 4.99 | inclinacaoY = -85.06 | inclinacaoZ = 0.02

angleX = 93.45 | angleY = 3.47 | angleZ = 89.37
inclinacaoX = 3.45 | inclinacaoY = -86.53 | inclinacaoZ = -0.63

angleX = 93.37 | angleY = 3.46 | angleZ = 89.11
inclinacaoX = 3.37 | inclinacaoY = -86.54 | inclinacaoZ = -0.89

angleX = 92.62 | angleY = 2.61 | angleZ = 89.62
inclinacaoX = 2.62 | inclinacaoY = -87.39 | inclinacaoZ = -0.38

angleX = 94.01 | angleY = 3.96 | angleZ = 90.02
inclinacaoX = 4.01 | inclinacaoY = -86.04 | inclinacaoZ = 0.02

angleX = 93.55 | angleY = 3.52 | angleZ = 89.68
inclinacaoX = 3.55 | inclinacaoY = -86.48 | inclinacaoZ = -0.32

angleX = 93.70 | angleY = 3.68 | angleZ = 89.66
inclinacaoX = 3.70 | inclinacaoY = -86.32 | inclinacaoZ = -0.34

angleX = 93.58 | angleY = 3.57 | angleZ = 89.57
inclinacaoX = 3.58 | inclinacaoY = -86.43 | inclinacaoZ = -0.43

angleX = 93.53 | angleY = 3.48 | angleZ = 90.07
inclinacaoX = 3.53 | inclinacaoY = -86.52 | inclinacaoZ = 0.07

angleX = 93.92 | angleY = 3.88 | angleZ = 90.30
inclinacaoX = 3.92 | inclinacaoY = -86.12 | inclinacaoZ = 0.30

angleX = 94.23 | angleY = 4.36 | angleZ = 91.30
inclinacaoX = 4.23 | inclinacaoY = -85.64 | inclinacaoZ = 1.30

angleX = 93.44 | angleY = 3.40 | angleZ = 90.32
inclinacaoX = 3.44 | inclinacaoY = -86.60 | inclinacaoZ = 0.32

angleX = 94.61 | angleY = 4.59 | angleZ = 90.58
inclinacaoX = 4.61 | inclinacaoY = -85.41 | inclinacaoZ = 0.58

angleX = 93.58 | angleY = 3.57 | angleZ = 90.53
inclinacaoX = 3.58 | inclinacaoY = -86.43 | inclinacaoZ = 0.53

